,res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,country_id,locality_verbose,cuisines,timings,average_cost_for_two,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway,type
471,3501712,Hungry Jax,Food Court,https://www.zomato.com/dehradun/hungry-jax-karanpur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Food Court, 2nd Floor, Cross Road Mall, Karanpur, Dehradun",Dehradun,35,"Crossroads Mall, Karanpur",30.3326985,78.0516373,1,"Crossroads Mall, Karanpur, Dehradun","Fast Food, Italian",11:30 AM to 9:30 PM,250,"Dinner, Lunch, Takeaway Available, Mall Parking, Delivery, Cash, Indoor Seating",2.9,Average,6,10,0.0,1,-1,Food Court
472,3501481,Bhatias Fast Food,Quick Bites,https://www.zomato.com/dehradun/bhatias-fast-food-race-course?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"J N Plaza, Opposite Court Gate 1, Haridwar Road, Race Course, Dehradun",Dehradun,35,Race Course,30.31519265,78.03917203,1,"Race Course, Dehradun",Fast Food,4 PM to 10 PM,150,"Takeaway Available, Lunch, Dinner, Cash, Digital Payments Accepted, Outdoor Seating, Indoor Seating",2.9,Average,8,1,0.0,1,-1,Quick Bites
473,19008379,Fast Food Center,Restaurant/Shop,https://www.zomato.com/dehradun/fast-food-center-khurbura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Next To Prabhat Cinema, Connaught Place, Khurbura, Dehradun",Dehradun,35,Khurbura,30.32554960000001,78.0364998,1,"Khurbura, Dehradun",North Indian,12 Noon to 12 Midnight,150,"No Seating Available, Dinner, Delivery, Lunch, Cash, Takeaway Available, Pure Veg",2.9,Average,5,0,0.0,1,-1,Restaurant/Shop
474,3501738,Punjabi Rasoi,Quick Bites,https://www.zomato.com/dehradun/punjabi-rasoi-malsi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 8, Pacific Hills, Mussorie Divergent, Malsi, Dehradun",Dehradun,35,Malsi,30.372507,78.077275,1,"Malsi, Dehradun",North Indian,11 AM to 11 PM,400,"Dinner, Delivery, Lunch, Cash, Takeaway Available, Indoor Seating",2.9,Average,6,5,0.0,-1,-1,Quick Bites
475,18874679,Dun Kitchen,Quick Bites,https://www.zomato.com/dehradun/dun-kitchen-kaonli?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Kargi Road, Near Pathribagh Chowk, Kaonli, Dehradun",Dehradun,35,Kaonli,30.299818,78.02333929999999,1,"Kaonli, Dehradun",North Indian,10 AM to 10:30 PM,200,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",2.9,Average,5,0,0.0,-1,-1,Quick Bites
476,3500920,Garhwali Family Dhaba,Quick Bites,https://www.zomato.com/dehradun/garhwali-family-dhaba-subhash-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Post Office Rd, Subhash Nagar, Dehradun, Uttarakhand 248002, India",Dehradun,35,Subhash Nagar,30.27053833,77.99603373,1,"Subhash Nagar, Dehradun",North Indian,8:30 AM to 9:30 PM,300,"Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Breakfast, Lunch, Indoor Seating",2.9,Average,10,1,0.0,-1,-1,Quick Bites
477,18978847,The Food City,Quick Bites,https://www.zomato.com/dehradun/the-food-city-ballupur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"THDC colony, Dehrakhas, Patel Nagar., Ballupur, Dehradun",Dehradun,35,Ballupur,30.2964049,78.0168028,1,"Ballupur, Dehradun","North Indian, Chinese",10:30am – 10:30pm (Mon-Sun),250,"Dinner, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating",2.9,Average,7,0,0.0,0,-1,Quick Bites
478,18699285,Kumar Sweet Shop,Sweet Shop,https://www.zomato.com/dehradun/kumar-sweet-shop-prem-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Prem Nagar Chowk, Chakrata Road",Dehradun,35,Prem Nagar,30.33598375,77.96483997,1,"Prem Nagar, Dehradun","Street Food, Fast Food, Mithai",8:30 AM to 10 PM,200,"No Seating Available, Takeaway Available, Cash, Credit Card, Delivery, Debit Card, Desserts and Bakes, Air Conditioned, Digital Payments Accepted",2.9,Average,4,4,0.0,-1,-1,Sweet Shop
479,18933159,Cafe Hashtag Baluni,Quick Bites,https://www.zomato.com/dehradun/cafe-hashtag-baluni-subhash-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Wild Life Institute, Chandrabani, Subhash Nagar, Dehradun",Dehradun,35,Subhash Nagar,30.29207191,77.99942373,1,"Subhash Nagar, Dehradun","Fast Food, Chinese, North Indian",11 AM to 11 PM,200,"Dinner, Takeaway Available, Debit Card, Lunch, Cash, Credit Card, Indoor Seating",2.9,Average,4,0,0.0,1,-1,Quick Bites
480,18867730,Lets Hangout Restaurant & Lounge,Casual Dining,https://www.zomato.com/dehradun/lets-hangout-restaurant-lounge-kaonli?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4th Floor, RD Tower, Opposite Dronpuri, GMS Road Kaonli, Dehradun",Dehradun,35,Kaonli,30.313435,78.009914,1,"Kaonli, Dehradun","North Indian, Chinese, Continental",11 AM to 11 PM,800,"Dinner, Delivery, Credit Card, Serves Alcohol, Lunch, Cash, Takeaway Available, Debit Card, DJ, Wine, Indoor Seating, Serves Cocktails, Air Conditioned, Smoking Area, Buffet, Outdoor Seating, Beer, Rooftop, Digital Payments Accepted, Wifi, Brunch",2.9,Average,4,3,0.0,1,-1,Casual Dining
481,18699390,Taneja Restaurant,Dhaba,https://www.zomato.com/dehradun/taneja-restaurant-prem-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Prem Nagar Chowk,Dehradun,35,Prem Nagar,30.33599099,77.96326987,1,"Prem Nagar, Dehradun",North Indian,"11:30 AM to 4 PM, 6 PM to 11 PM",250,"No Alcohol Available, Cash, Dinner, Takeaway Available, Lunch, Indoor Seating, Pure Veg",2.9,Average,6,5,0.0,-1,-1,Dhaba
482,3502014,Prakash Bhojanalya,Quick Bites,https://www.zomato.com/dehradun/prakash-bhojanalya-race-course?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11, Darshanigate, Race Course, Dehradun",Dehradun,35,Race Course,30.31676773,78.03336035,1,"Race Course, Dehradun",North Indian,11 AM to 11 PM,400,"Cash, Dinner, Delivery, Lunch, No Alcohol Available, Takeaway Available, Indoor Seating",2.9,Average,4,0,0.0,1,-1,Quick Bites
